#,Vehicle Description,Device-ID,Date,Time,Odometer Km,Lat/Lon,Address,Latest Batt %,Since Last Check-In
77,NE2_KA02AC5944_JETTING,ne2_ka02ac5944_jetting,01/01/2014,15:51:40,63270,13.0349/77.5726,Sanjay Nagar,,0d 00h 00m
78,W21_KA04D5305_TANKER,w21_ka04d5305_tanker,01/01/2014,16:04:48,6489,13.0103/77.5673,Malleshwaram,,0d 00h 00m
79,N12_KA04B7114_TANKER,n12_ka04b7114_tanker,01/01/2014,16:04:56,37588,13.0291/77.6107,Shampura,,0d 00h 00m
80,E12_KA04D6650_JETTING,e12_ka04d6650_jetting,01/01/2014,16:05:32,20033,12.9660/77.6788,Keerthi Regency,,0d 17h 30m
81,WWW_V_VV1_KA53B3465_JETTING,www_v_vv1_ka53b3465_jetting,01/01/2014,16:24:02,31739,12.9834/77.5206,Kamakshi Palya,,0d 21h 10m
82,E24_KA04C5159_JETTING,e24_ka04c5159_jetting,01/01/2014,16:24:33,70036,13.0045/77.6674,Kottur,,0d 00h 00m
83,N12_KA04AA1780_DESILTING,n12_ka04aa1780_desilting,01/01/2014,16:33:55,15647,13.0411/77.5882,Hebbal,,0d 16h 40m
84,S11_KA04D4106_JETTING,s11_ka04d4106_jetting,01/01/2014,16:34:12,95417,12.9226/77.5970,Tilak Nagar,,0d 00h 00m
85,C1_KA04C5127_JETTING,c1_ka04c5127_jetting,01/01/2014,16:37:41,18341,12.9871/77.5901,Hotel Chalukya,,5d 23h 59m
86,N12_KA04D4115_JETTING,n12_ka04d4115_jetting,01/01/2014,16:38:44,24789,13.0187/77.5962,RT Nagar,,0d 00h 00m
87,S11_KA04C2203_JETTING,s11_ka04c2203_jetting,01/01/2014,16:43:15,29548,12.9074/77.5967,"J.P. Nagar, 3rd Phase",,0d 00h 00m
88,SE5_KA05B8084_TANKER,se5_ka05b8084_tanker,01/01/2014,16:47:46,26464,12.9283/77.6240,Grand Mercure Bangalore,,0d 00h 00m
89,N12_KA04AA1781_DESILTING,n12_ka04aa1781_desilting,01/01/2014,16:55:56,12774,13.0193/77.6019,Mysore Lancers Lines,,0d 00h 00m
90,C2_KA03C5064_TANKER,c2_ka03c5064_tanker,01/01/2014,17:03:27,47770,13.0158/77.6160,Jivanhalli,,0d 00h 00m
